ID,DamageReplaceStat,Epic_0,Epic_1,Epic_2,Epic_3,Epic_4,Superior_0,Superior_1,Superior_2,Superior_3,Superior_4,Good_0,Good_1,Good_2,Good_3,Good_4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,9,7,5,4,3,5,4,3,2,2,1,1,1,0,0
11,0,10,8,6,4,3,5,4,3,2,2,2,1,1,1,0
12,0,11,8,6,5,4,6,4,3,3,2,2,2,1,1,1
13,0,12,9,7,5,4,7,5,4,3,2,3,2,1,1,1
14,0,12,9,7,5,4,7,5,4,3,2,3,2,2,1,1
15,0,13,10,7,5,4,8,6,4,3,2,4,3,2,1,1
16,0,14,10,8,6,4,8,6,5,4,3,4,3,2,2,1
17,0,14,11,8,6,5,9,7,5,4,3,5,3,3,2,1
18,0,15,11,9,7,5,9,7,5,4,3,5,4,3,2,2
19,0,16,12,9,7,5,10,8,6,4,3,6,4,3,2,2
20,0,16,12,9,7,5,11,8,6,5,3,6,5,3,3,2
21,0,17,13,9,7,5,11,8,6,5,4,7,5,4,3,2
22,0,18,13,10,7,6,12,9,7,5,4,7,5,4,3,2
23,0,18,14,11,8,6,12,9,7,5,4,8,6,4,3,2
24,0,19,14,11,8,6,13,10,7,6,4,8,6,5,3,3
25,0,20,15,11,9,7,14,10,8,6,4,9,6,5,4,3
26,0,20,16,11,9,7,14,11,8,6,5,9,7,5,4,3
27,0,21,16,12,9,7,15,11,8,6,5,10,7,5,4,3
28,0,22,16,12,9,7,15,12,9,7,5,10,8,6,4,3
29,0,23,17,13,9,7,16,12,9,7,5,11,8,6,4,3
30,0,23,18,13,10,7,17,12,9,7,5,11,8,6,5,3
31,0,24,18,14,10,7,17,13,10,7,5,12,9,6,5,4
32,0,25,18,14,11,8,18,13,10,8,6,12,9,7,5,4
33,0,25,19,14,11,8,18,14,10,8,6,13,9,7,5,4
34,0,26,20,15,11,8,19,14,11,8,6,13,10,7,5,4
35,0,27,20,15,11,9,20,15,11,8,6,14,10,8,6,4
36,0,27,20,16,11,9,20,15,11,9,6,14,11,8,6,4
37,0,28,21,16,12,9,21,16,12,9,7,15,11,8,6,5
38,0,29,22,16,12,9,21,16,12,9,7,15,11,8,6,5
39,0,29,22,16,12,9,22,16,12,9,7,16,12,9,7,5
40,0,30,23,17,13,9,23,17,13,10,7,16,12,9,7,5
41,0,31,23,18,13,10,23,17,13,10,7,17,12,9,7,5
42,0,32,24,18,13,10,24,18,13,10,8,17,13,10,7,5
43,0,32,24,18,14,10,24,18,14,10,8,18,13,10,7,6
44,0,33,25,18,14,11,25,19,14,11,8,18,14,10,8,6
45,0,34,25,19,14,11,26,19,14,11,8,19,14,10,8,6
46,0,34,25,19,14,11,26,20,15,11,8,19,14,11,8,6
47,0,35,26,20,15,11,27,20,15,11,8,20,15,11,8,6
48,0,36,27,20,15,11,27,20,15,12,9,20,15,11,8,6
49,0,36,27,20,16,11,28,21,16,12,9,21,15,12,9,6
50,0,37,28,21,16,12,28,21,16,12,9,21,16,12,9,7
51,0,38,28,21,16,12,29,22,16,12,9,22,16,12,9,7
52,0,38,29,22,16,12,30,22,17,13,9,22,17,12,9,7
53,0,39,29,22,16,12,30,23,17,13,10,23,17,13,9,7
54,0,40,30,22,17,13,31,23,17,13,10,23,17,13,10,7
55,0,41,30,23,17,13,31,24,18,13,10,24,18,13,10,7
56,0,41,31,23,18,13,32,24,18,14,10,24,18,14,10,8
57,0,42,32,23,18,13,33,24,18,14,10,25,18,14,10,8
58,0,43,32,24,18,14,33,25,19,14,11,25,19,14,11,8
59,0,43,32,25,18,14,34,25,19,14,11,26,19,14,11,8
60,0,44,33,25,18,14,34,26,19,15,11,26,20,15,11,8
61,0,45,34,25,19,14,35,26,20,15,11,27,20,15,11,8
62,0,45,34,25,19,14,36,27,20,15,11,27,20,15,11,9
63,0,46,34,26,19,14,36,27,20,15,11,28,21,15,12,9
64,0,47,35,26,20,15,37,28,21,16,12,28,21,16,12,9
65,0,47,36,27,20,15,37,28,21,16,12,29,21,16,12,9
66,0,48,36,27,20,15,38,28,21,16,12,29,22,16,12,9
67,0,49,36,27,20,16,39,29,22,16,12,30,22,17,12,9
68,0,50,37,28,21,16,39,29,22,17,12,30,23,17,13,9
69,0,50,38,28,21,16,40,30,22,17,13,31,23,17,13,10
70,0,50,38,29,21,16,40,30,23,17,13,31,23,17,13,10
71,0,52,39,29,22,16,41,31,23,17,13,32,24,18,13,10
72,0,52,39,29,22,16,42,31,23,18,13,32,24,18,14,10
73,0,52,39,30,22,17,42,32,24,18,13,33,24,18,14,10
74,0,53,40,30,23,17,43,32,24,18,14,33,25,19,14,10
75,0,54,41,30,23,17,43,32,24,18,14,34,25,19,14,11
76,0,55,41,31,23,18,44,33,25,19,14,34,26,19,14,11
77,0,55,41,31,23,18,45,33,25,19,14,35,26,19,15,11
78,0,56,42,32,24,18,45,34,25,19,14,35,26,20,15,11
79,0,57,43,32,24,18,46,34,26,19,14,36,27,20,15,11
80,0,57,43,32,25,18,46,35,26,20,15,36,27,20,15,11
81,0,58,43,33,25,18,47,35,26,20,15,37,27,21,15,12
82,0,59,44,33,25,18,47,36,27,20,15,37,28,21,16,12
83,0,59,45,34,25,19,48,36,27,20,15,38,28,21,16,12
84,0,60,45,34,25,19,49,37,27,21,15,38,29,21,16,12
85,0,61,46,34,26,19,49,37,28,21,16,39,29,22,16,12
86,0,61,46,34,26,20,50,37,28,21,16,39,29,22,16,12
87,0,62,47,35,26,20,50,38,28,21,16,40,30,22,17,12
88,0,63,47,36,27,20,51,38,29,22,16,40,30,23,17,13
89,0,64,48,36,27,20,52,39,29,22,16,41,30,23,17,13
90,0,64,48,36,27,20,52,39,29,22,17,41,31,23,17,13
91,0,65,49,36,27,21,53,40,30,22,17,42,31,23,18,13
92,0,66,50,37,28,21,53,40,30,23,17,42,32,24,18,13
93,0,66,50,37,28,21,54,41,30,23,17,43,32,24,18,13
94,0,66,50,37,28,21,54,41,30,23,17,43,32,24,18,14
95,0,67,50,37,28,21,54,41,31,23,17,44,33,24,18,14
96,0,67,50,37,28,21,55,41,31,23,17,44,33,25,19,14
97,0,67,51,38,28,21,55,42,31,24,18,45,33,25,19,14
98,0,68,51,38,29,21,56,42,31,24,18,45,34,25,19,14
99,0,68,51,38,29,22,56,42,32,24,18,46,34,26,19,14
100,0,68,51,38,29,22,57,43,32,24,18,46,35,26,19,15
101,0,69,52,38,29,22,57,43,32,24,18,47,35,26,20,15
102,0,69,52,39,29,22,57,43,32,25,18,47,35,26,20,15
103,0,69,52,39,29,22,58,44,33,25,18,48,36,27,20,15
104,0,70,52,39,30,22,58,44,33,25,19,48,36,27,20,15
105,0,70,52,39,30,22,59,44,33,25,19,49,36,27,20,15
106,0,70,53,39,30,22,59,45,33,25,19,49,37,28,21,16
107,0,71,53,40,30,23,60,45,34,26,19,50,37,28,21,16
108,0,71,53,40,30,23,60,45,34,26,19,50,38,28,21,16
109,0,71,53,40,30,23,60,46,34,26,19,51,38,28,21,16
110,0,72,54,40,31,23,61,46,34,26,19,51,38,29,22,16
111,0,72,54,40,31,23,61,46,34,26,20,52,39,29,22,16
112,0,72,54,41,31,23,62,47,35,26,20,52,39,29,22,16
113,0,73,54,41,31,23,62,47,35,27,20,53,39,30,22,17
114,0,73,54,41,31,23,63,47,35,27,20,53,40,30,22,17
115,0,73,55,41,31,24,63,48,35,27,20,54,40,30,23,17
116,0,74,55,41,32,24,63,48,36,27,20,54,41,30,23,17
117,0,74,55,42,32,24,64,48,36,27,20,55,41,31,23,17
118,0,74,55,42,32,24,64,49,36,28,21,55,41,31,23,17
119,0,75,56,42,32,24,65,49,36,28,21,56,42,31,23,18
120,0,75,56,42,32,24,65,49,37,28,21,56,42,32,24,18
121,0,75,56,42,32,24,66,50,37,28,21,57,42,32,24,18
122,0,76,56,43,33,24,66,50,37,28,21,57,43,32,24,18
123,0,76,57,43,33,25,67,50,37,29,21,58,43,32,24,18
124,0,75,57,43,31,23,67,51,38,29,21,58,44,33,24,18
125,0,77,57,43,33,25,68,51,38,29,22,59,44,33,25,19
127,0,78,59,43,33,25,69,52,38,29,22,60,45,33,25,19
128,0,78,59,44,33,25,69,52,39,29,22,60,45,34,25,19
129,0,79,59,44,34,25,70,52,39,30,22,61,45,34,26,19
